,name,github_id,category,description,homepage,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,monthly_downloads,labels,new_addition
34,SciLean,lecopivo/SciLean,package,,{},10.0,0,False,,,,,,,
35,SMT Lean,ufmg-smite/lean-smt,package,,{},12.0,0,False,,,,,,,
36,lean-crypto,joehendrix/lean-crypto,package,,{},3.0,0,False,,,,,,,
37,CvxLean,verified-optimization/CvxLean,package,,{},3.0,0,False,,,,,,,
38,Paperproof,Paper-Proof/paperproof,tool,Theorem proving interface which feels like pen-and-paper proofs.,{},6.0,0,False,,,,,,,
39,LeanCopilot,lean-dojo/LeanCopilot,tool,,{},14.0,0,False,,,,,,,
40,Lean 4 Cheatsheet,madvorak/lean4-cheatsheet,cheatsheet,,https://github.com/madvorak/lean4-cheatsheet/blob/main/lean-tactics.pdf,,0,False,,,,,,,
41,cs-dm/CheatSheet.lean,kevinsullivan/cs-dm,cheatsheet,,https://github.com/kevinsullivan/cs-dm/blob/master/CheatSheet.lean,3.0,0,False,,,,,,['lean3'],
42,Lean 4 Tactics,madvorak/lean4-tactics,cheatsheet,,{},3.0,0,False,,,,,,,
43,Functional Programming in Lean,leanprover/fp-lean,tutorial,,https://lean-lang.org/functional_programming_in_lean/,10.0,0,False,,,,,,,
44,"The Matrix Cookbook, using Lean's mathlib",eric-wieser/lean-matrix-cookbook,sample,,{},3.0,0,False,,,,,,,
45,Lean Math Workshop,yuma-mizuno/lean-math-workshop,sample,Materials for a workshop held in Japan.,{},5.0,0,False,,,,,,['ja'],
46,SATurn,siddhartha-gadgil/Saturn,package,,{},2.0,-1,False,3.0,,,,,,
47,fde-lean,cyborg-garden/fde-lean,package,"First-degree entailment (Belnap-Dunn four-valued logic) with soundness, completeness, and decidability proved. Proofs..",{},2.0,-1,False,3.0,,,,,,
48,LeanFrontier,carlok/LeanFrontier,package,Public Lean 4 library with a reproducible submission receiver.,{},2.0,-1,False,3.0,,,,,,True
49,lean3-tactic-lean4,madvorak/lean3-tactic-lean4,cheatsheet,Reference sheet for people who know Lean 3 and want to write tactic-based proofs in Lean 4.,{},2.0,-1,False,3.0,,,,,['lean3'],
