,name,github_id,category,description,homepage,contributor_count,projectrank,show,projectrank_placing,trending,labels,pypi_id,pypi_url
16,`#help` command output,,cheatsheet,"Output of `#help option`, `#help attr`, ... shown in `Lean 4 Web`.",https://live.lean-lang.org/#code=import%20Mathlib.Tactic%0D%0A%0D%0A%23help%20option%0D%0A%23help%20attr%0D%0A%23help%20cats%0D%0A%23help%20term%0D%0A%23help%20tactic%0D%0A%23help%20conv%0D%0A%23help%20command%0D%0A,,1,True,2.0,,,,
17,The Lean Reference Manual,,tutorial,Official Lean 3 Reference Manual.,https://lean-lang.org/reference/index.html,,1,True,1.0,,['lean3'],,
18,Mathematics in Lean,leanprover-community/mathematics_in_lean,tutorial,Note that there are many parts of the documentation at leanprover-community.github.io that have not been updated.,https://leanprover-community.github.io/mathematics_in_lean/,3.0,1,True,1.0,,,,
19,A Lean 4 Metaprogramming Book,leanprover-community/lean4-metaprogramming-book,tutorial,Practical manual with code that goes into the internal concepts of Lean 4.,{},31.0,1,False,1.0,,,,
20,The mechanics of proof,hrmacbeth/math2001,tutorial,Early university level course.,https://hrmacbeth.github.io/math2001/,,1,True,1.0,-9.0,,,
21,Lean Manual,,tutorial,Official Manual.,https://lean-lang.org/lean4/doc/do.html,,1,True,1.0,,,,
22,Theorem Proving in Lean 4,leanprover/theorem_proving_in_lean4,tutorial,,https://lean-lang.org/theorem_proving_in_lean4/,86.0,1,False,1.0,,,,
23,K-Lean,Heime-Jorgen/kenosian-lean4,package,"64 machine-verified contracts for computational biology. sorry-free. Covers Michaelis-Menten, Hill equation, SIR..",https://kpp.kenosian.com/k-lean.html,,1,True,1.0,,,,
24,Zulip chat for discussions about Lean and mathlib,,community,Official community.,https://leanprover.zulipchat.com/,,1,True,1.0,,,,
25,Lean 4 Anarchy (Discord),,community,Anarchy discord server.,https://discord.com/invite/WZ9bs9UCvx,,1,True,1.0,,,,
26,Links (lean-lang.org),,awesome,Official collection of links.,https://lean-lang.org/links/,,1,True,1.0,,,,
27,LEAN JA リンク集,lean-ja/lean-ja.github.io,awesome,Japanese translated versions of several tutorials are available. ().,https://lean-ja.github.io/links/,3.0,1,True,1.0,,['ja'],,
28,lean4 - Where is the syntax of Lean 4 documented? - Proof Assistants Stack Exchange,,awesome,Discussion regarding Lean 4 documentation.,https://proofassistants.stackexchange.com/questions/2305/where-is-the-syntax-of-lean-4-documented,,1,True,1.0,,,,
29,lean4 - YouTube,,movie,YouTube movies.,https://www.youtube.com/results?search_query=lean4,,1,True,1.0,,,,
30,人気の「Lean」動画 14本 - ニコニコ動画,,movie,Niconico movies. Entertaining instructions using TTS software have been uploaded.,https://www.nicovideo.jp/tag/Lean,,1,True,1.0,,['ja'],,
31,quote4,leanprover-community/quote4,core,,{},15.0,0,False,,,,,
32,llmstep,wellecks/llmstep,package-meta,,{},5.0,0,False,,-9.0,,,
33,SciLean,lecopivo/SciLean,package,,{},10.0,0,False,,,,,
34,SMT Lean,ufmg-smite/lean-smt,package,,{},12.0,0,False,,,,,
35,lean-crypto,joehendrix/lean-crypto,package,,{},3.0,0,False,,,,,
36,CvxLean,verified-optimization/CvxLean,package,,{},3.0,0,False,,-10.0,,,
37,Paperproof,Paper-Proof/paperproof,tool,Theorem proving interface which feels like pen-and-paper proofs.,{},6.0,0,False,,,,,
38,LeanCopilot,lean-dojo/LeanCopilot,tool,,{},14.0,0,False,,,,,
39,mathlas,Archerkattri/mathlas,tool,MCP server that lets AI agents check proofs with the Lean 4 kernel and search mathlib (via Loogle/LeanSearch).,{},,0,False,,,,mathlas-mcp,https://pypi.org/project/mathlas-mcp
40,Lean 4 Cheatsheet,madvorak/lean4-cheatsheet,cheatsheet,,https://github.com/madvorak/lean4-cheatsheet/blob/main/lean-tactics.pdf,,0,False,,,,,
41,cs-dm/CheatSheet.lean,kevinsullivan/cs-dm,cheatsheet,,https://github.com/kevinsullivan/cs-dm/blob/master/CheatSheet.lean,3.0,0,False,,,['lean3'],,
42,Lean 4 Tactics,madvorak/lean4-tactics,cheatsheet,,{},3.0,0,False,,,,,
43,Functional Programming in Lean,leanprover/fp-lean,tutorial,,https://lean-lang.org/functional_programming_in_lean/,6.0,0,False,,,,,
44,"The Matrix Cookbook, using Lean's mathlib",eric-wieser/lean-matrix-cookbook,sample,,{},3.0,0,False,,,,,
45,Lean Math Workshop,yuma-mizuno/lean-math-workshop,sample,Materials for a workshop held in Japan.,{},5.0,0,False,,-10.0,['ja'],,
46,SATurn,siddhartha-gadgil/Saturn,package,,{},2.0,-1,False,3.0,,,,
47,lean3-tactic-lean4,madvorak/lean3-tactic-lean4,cheatsheet,Reference sheet for people who know Lean 3 and want to write tactic-based proofs in Lean 4.,{},2.0,-1,False,3.0,,['lean3'],,
